title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Roasting Fans,rRlP7QRs9hA,1656184,124925,1621,11857,0
I IDENTIFY AS...,9Q4Ib0rdFpY,1488798,67119,1309,7953,0
SPOT THE MICROAGGRESSION - South Park The Fractured But Whole | Walkthrough Gameplay - Part 6,PRWX9mErpDs,2223082,83180,2183,8721,0
 HIS VOICE WILL MAKE YOU CRY YLYL #0008,jhO7nd5u8cs,2781479,166224,5043,15433,0
THIS KID IS THE NEW PEWDEPIE! - YLYL #0007,UYkC4dfq20o,3750294,232731,4567,17508,0
MY GIRLFRIEND PICKS MY OUTFITS!,fAuUd1HiWe4,2942152,176384,5067,20138,0
Top 10 Facts About PewDiePie,sfjY0P_PFm4,172770,5882,853,1544,0
THE RICH LIFE OF PEWDIEPIE,GP9egt__qeI,9624741,447354,13043,32748,0
THERES NO WAY I CAN SHOW THIS.... South Park The Fractured But Whole | Walkthrough Part 4,myX1bJ6GvX0,2304516,99945,1430,6191,0
WHAT IS MY WEAKNESS? -  South Park The Fractured But Whole | Walkthrough Gameplay Part 3,7FF3tP8jlLg,2916718,129603,1943,8417,0
THE FALL OF PEWDIEPIE!,izwCDpG4OFk,4773244,273177,6321,20597,0
THE PEWDIEPIE IQ TEST,5DvgE04YzU8,11507052,408774,6878,25560,0
JAKE PAUL,TuIcBPm90aM,24116037,1347099,127306,222497,0
REACTING TO SPICY PEWDIEPIE MEMES,yD4ZZgZToKw,7782760,377173,5828,27489,0
We Need To Talk.. (Important) (Clickbait),szfuo1m6uJ8,1997295,172112,2227,16324,0
 I M P O S S I B L E ? ! ? ! ,6fXrhqUCmC4,3180761,159022,3233,9667,0
 SOUTH PARK THE FRACTURED BUT WHOLE  FULL | Walkthrough Gameplay Part 1 - DEMONETIZED EDITION!,dU2Vi1rBDuQ,3718148,392729,3241,12336,0
The Pewdiepie Song(s),g1d7hrfc7wM,5922018,344636,4566,34868,0
[Cuphead] this game is a little hard,R9rLCPW-eUI,5852935,260480,6424,17600,0
THE ENDING OF THIS WAS THE BEST!! South Park The Fractured But Whole | Walkthrough Gameplay Part 5,i80gqc24wks,2320684,91224,1639,6984,0
THE 5 YEAR OLD THAT WILL SURPASS PEWDIEPIE,4CjLK1mB_II,8345629,554768,11056,61299,0
CANT STOP LAUGHING! -   South Park The Fractured But Whole | Walkthrough Gameplay Part 2,xukgniwV9XU,3059241,194278,1604,9419,0
TOP 10 PEWDIEPIE VIDEOS,kQye2uNafk0,5713255,355979,7610,43088,0
ITS ALL OVER!,RH7wMFrWYoA,5288659,296539,21467,43826,0
HOW TO: MAKE SWEDISH MEATBALLS,4awKvTfgKfU,3832176,248557,4050,30016,0
THIS MONSTER IS AWESOME! [The Evil Within 2],o-rnZzgu3hQ,2420708,147446,2355,21657,0
PLEASE DONT FEEL BAD WATCHING THIS GAMEPLAY,P5mnhYQC9qU,3841765,188776,3297,14766,0
COME AT ME PEWDIEPIE!,DTFcqjO35Qc,5515039,311283,98344,48310,0
HOW MUCH DOES PEWDIEPIE MAKE IN A YEAR?,j7c7W8R3p6Q,7256671,401280,15363,57485,0
MY COMEDY SPECIAL!,f0eb_FvV7pQ,2578550,159006,7315,14694,0
WHY PEWDIEPIE IS THE DUMBEST YOUTUBER,eQfzqXiNfug,13013513,749641,10915,110147,0
CHRISTIAN CHANNEL.,7Vej7sV3IAY,3477455,265496,6303,17520,0
I f************ LOVE Science!,bvWqNVnJW48,2941800,167863,3950,16490,0
CRAFTING FOR MY PETS,OR18WrD-aes,2452867,176739,2925,15610,0
7 SIGNS YOURE A TOXIC GAMER!,meqT-KSYj7I,2839979,165982,4537,18159,0
27 SUCCESS FACTS: PEWDIEPIE,gN0_43J5r-0,3867509,188553,2847,8831,0
"WATCHING YOUTUBERS LEAST VIEWED VIDEOS (Pewdiepie, Jake Paul, and Markiplier - #1)",PXQi_ztqUuE,33338,4920,45,1658,0
My Response,cLdxuaxaQwc,9656861,731297,61542,144360,0
JAKE PAUL EXPOSED,u8YwCg4iNV0,10521095,646801,28522,71890,0
HARDEST. GAME. EVER.,NLJiK8BFv7U,3115621,207462,4788,19715,0
ABSOLUTELY DESTROYED VIDEO -- YLYL #0006,j5ueSAu4DzI,3474503,201608,3460,16830,0
PEWDIEPIE IRL?,GkTtlN2M6Nw,3227668,206667,4304,12719,0
KATY PERRY IS A GENIUS,OB4znOVsfnA,7916407,426286,9390,46394,0
HOW TO MAKE REALLY GOOD THUMBNAILS ON YOUTUBE,Nz3Ngt0AMDA,2569377,208107,2534,17758,0
STREAM FAILS,jpyOcPU-o8k,5443399,270404,14308,33437,0
YOU LAUGH YOU GET DEMONETIZED / YLYL #0004,dEJzprv013U,6091718,360498,8719,24085,0
PewDiePie saying the N word,4jdh7EQRgps,2761009,32820,4977,31887,0
RETURN TO SLENDER,h7vheRVUbZE,2994940,172393,2531,17285,0
we finally did it!,wogXZxbmD64,6038273,362513,4972,39410,0
