created,text,retwc,hashtag,followers,friends
2017-10-23 10:38:38,b'RT @NicholasRyanH: Game of Thrones tonight!!!!! (Sorry. Just practicing for two years from now.)',349,None,548,889
2017-10-23 10:38:18,b'RT @guardian: Gunpowder review \xe2\x80\x93 it\xe2\x80\x99s Game of Thrones minus dragons plus history  https://t.co/FIXmzmurWs',9,None,1962,906
2017-10-23 10:37:50,"b""RT @monkeys_robots: #Podcast Rewind - Episode 75: 'Nice Guys' 'The Flash' 'Game of Thrones' (May 2016) \n\nhttps://t.co/eAHaMhDw6k""",1,Podcast,59,2270
2017-10-23 10:37:45,b'@Eyilayoo Game of Thrones people have borrowed the horse for season 8 o. But I am still looking for a very nice one to send to you.\xf0\x9f\x98\x80',0,None,1727,1984
2017-10-23 10:36:53,b'RT @jsleosz: Game of Thrones https://t.co/h0muJ6XPv5',3,None,554,250
2017-10-23 10:36:51,"b'@SeductiveBeaut I once read a quote that if Monday were a person, it would be Joffery from Game of Thrones. /Laughs/ So very accurate.'",0,None,252,267
2017-10-23 10:36:42,"b'RT @TreyWaller: I missed Game of Thrones for this??I live and will die an @AtlantaFalcons fan,but this was pathetic. #WTFSarkisian \n@JohnFr\xe2\x80\xa6'",2,WTFSarkisian,91,159
2017-10-23 10:36:29,b'RT @wintertospring6: SENSE8 COULD BE TO GAME OF THRONES LEVEL IF YOU ONLY CARED @netflix',5,None,388,880
2017-10-23 10:35:53,b'ikr. Its even worse than game of thrones https://t.co/eC14wohlQr',0,None,171,113
2017-10-23 10:35:38,b'RT @NicholasRyanH: Game of Thrones tonight!!!!! (Sorry. Just practicing for two years from now.)',349,None,384,1709
2017-10-23 10:35:20,b'My game of thrones box set  #IWantToBeBuriedWith',0,IWantToBeBuriedWith,9,11
2017-10-23 10:35:00,b'RT @awkwardphilippe: HER: I love Game Of Thrones\n\nME(trying to impress her): I slept with my sister',4507,None,543,623
2017-10-23 10:34:41,"b""I've just watched episode S03E03 of Game of Thrones! #GoT  https://t.co/GA3EBtmw43 #tvtime https://t.co/h7VKtNnaj8""",0,GoT,19294,7651
2017-10-23 10:34:22,b'RT @wintertospring6: SENSE8 COULD BE TO GAME OF THRONES LEVEL IF YOU ONLY CARED @netflix',5,None,156,511
