username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
allkpop,21366823,2017-11-01 16:55:00,"BTS, EXO, TWICE, DAY6, B.A.P, NCT 127, and more perform at Pyeongchang Winter Olympics G-100 K-Pop Concert!... https://t.co/XnvoHOwven",1737,None,4702586,477,0.625,0.5
Olympics,52422878,2017-11-01 02:53:30,The @OlympicFlame arrives in Incheon #100DaysToGo @PyeongChang2018 @Olympics https://t.co/lZsdy82uvl,425,100DaysToGo,5640545,4650,0.0,0.0
allkpop,21366823,2017-11-01 14:35:01,"Suzy, Yoo Jae Suk, and 'Infinity Challenge' crew run torch for '2018 Pyeongchang Winter Olympics'... https://t.co/7agTsoDtg2",343,None,4702586,477,0.0,0.0
Olympics,52422878,2017-11-01 01:59:11,The @OlympicFlame arrives in Incheon #100DaysToGo #PyeongChang2018 #Olympics #TorchRelay https://t.co/cVyY9coCUr,292,100DaysToGo,5640545,4650,0.0,0.0
Virender Sehwag,92724677,2017-11-02 10:25:35,Sanjeev Kumar needs a 8kg RKG Grandslam Sports Wheelchair and aim for gold at 2020 Tokyo Olympics. Please contribut... https://t.co/ZPvgHg9nHJ,379,None,13454192,135,0.0,0.0
Olympics,52422878,2017-11-01 19:54:17,Only #100DaysToGo until @pyeongchang2018  https://t.co/X6O7DCngXV,417,100DaysToGo,5640545,4650,0.0,1.0
Soompi,17659206,2017-11-01 18:19:52,Stars And Athletes Attend Pyeongchang Olympics D-100 Gala Dinner https://t.co/feQvLIKxNC https://t.co/Zw88aKHVcg,78,None,1712205,3646,0.0,0.0
allkpop,21366823,2017-11-01 20:40:58,Dara shows support for the upcoming 'Pyeongchang Winter Olympics' https://t.co/dFLU4KdaJL https://t.co/agOQvDP3nJ,167,None,4702586,477,0.0,0.0
Soompi,17659206,2017-11-01 01:48:46,"#InfiniteChallenge Makes Official Statement On Cast Filming For 2018 Pyeongchang Olympics
https://t.co/ayqQrNRAqB https://t.co/bs3TdqkN9j",112,InfiniteChallenge,1712205,3646,0.0,0.0
Olympics,52422878,2017-11-01 17:05:06,At #100DaysToGo the @PyeongChang2018 torch relay came to South Korea.  https://t.co/EJojxddZ61,117,100DaysToGo,5640545,4650,0.0,0.0
TODAY,7744592,2017-11-01 12:55:27,.@AshWagner2010 treated us to a special performance #100DaysOut from the Winter Olympics! https://t.co/T7UXx6Or3a,73,100DaysOut,4259472,8178,0.44642857142857145,0.5714285714285714
Team GB,27660239,2017-11-01 08:30:59,"Winter is coming. The #PyeongChang2018 Winter Olympics are on the horizon and our athletes are ready.

#100daystogo... https://t.co/LFgN8As2JP",120,PyeongChang2018,910432,1786,0.2,0.5
Olympics,52422878,2017-11-01 11:29:48,With #100DaysToGo until @pyeongchang2018 eight Olympic posters were unveiled. Discover full collection here... https://t.co/F7refau3DR,73,100DaysToGo,5640545,4650,0.35,0.55
Olympic Channel,3163717636,2017-11-01 03:30:03,Get excited because there are #100DaysToGo until #PyeongChang2018!![?] @Olympics @pyeongchang2018 https://t.co/CjjCoZMKD8,95,100DaysToGo,312708,4893,0.5859375,0.75
CNN Sport,34992644,2017-10-31 16:17:01,"The first ever skater to land five quad jumps in one routine, @nathanwchen is now eyeing success at the Winter Olym... https://t.co/zIU4Wi94bh",231,None,63811,639,0.275,0.16666666666666666
Olympics,52422878,2017-10-31 17:15:03,Oooooolympics! Happy Halloween everyone!  https://t.co/tLPU4WtuUS,90,None,5640545,4650,1.0,1.0
Olympic Flame,707559273044250625,2017-10-31 14:31:21,I always wear a seat belt! Heading to Incheon! @pyeongchang2018 @olympics https://t.co/Z1NaHVgNTP,166,None,102098,668,0.0,0.0
Bloomberg,34713362,2017-10-31 23:55:11,South Korea's Moon is calling on North Korea to join the Winter Olympics https://t.co/HQltCuzGsQ https://t.co/3p1KKvxXKt,20,None,4357815,1088,0.0,0.0
Grace VanderWaal,706933895502163968,2017-10-31 16:04:14,Excited to celebrate the 100 day countdown to the #Olympics with @teamusa in Times Square tomorrow!! ... https://t.co/AOlq9uUCgB,99,Olympics,283156,112,0.5859375,0.75
U.S. Ski Team,15572044,2017-10-31 16:01:28,"It's official: @MillerBode is retiring.

...but he IS joining us at the @Olympics this year as a commentator. And w... https://t.co/K9hbdFTsYN",128,None,50931,719,0.0,0.0
Olympic Channel,3163717636,2017-10-31 21:20:01,The handover is official! #PyeongChang2018 officially receives the  #OlympicFlame . @Olympicflame @PyeongChang2018... https://t.co/FzokPwNMxC,40,PyeongChang2018,312708,4893,0.0,0.0
Sports Illustrated,28370738,2017-10-31 18:07:05,"400 meter world record holder Wayde van Niekerk tore his ACL during a celebrity rugby game
https://t.co/wQezhVhsn3",36,None,1725035,1679,-0.4,0.4
British Bake Off,234428224,2017-10-31 21:04:46,We're delighted to announce that Kate's entremet will host the 2017 Winter Olympics. #GBBOFinal https://t.co/cyL5jQhGUV,32,GBBOFinal,597932,1138,0.7,0.7
Olympic Flame,707559273044250625,2017-10-31 14:28:32,Getting comfy... [?] @pyeongchang2018 @olympics #torchrelay https://t.co/8eLfrI10tr,113,torchrelay,102098,668,0.0,0.0
Travis Yost,89529185,2017-10-31 23:30:54,"I can't believe people are upset about this trade for Benjamin. Ya haven't made the playoffs since the Olympics. 

THE SYDNEY OLYMPICS.",31,None,29294,400,0.0,0.0
Olympic Channel,3163717636,2017-10-31 19:00:05,"The #OlympicFlame  is handed. #PyeongChang2018  is ready. The official countdown begins [?].

@pyeongchang2018... https://t.co/e4rOh2BgMg",30,OlympicFlame,312708,4893,0.2,0.5
SPIKES,769097582,2017-10-31 16:33:53,"Noooo!

Wayde van Niekerk suffers meniscus tear and is out for 6 months after rugby injury.

 https://t.co/S32Z1VjulZ",59,None,31410,5384,-0.6,0.7
RMNB,90557401,2017-10-31 17:11:13,"John Walton will be doing the play-by-play for women's hockey at the 2018 Winter Olympics https://t.co/YeM9PSpBU0 Congrats, @WaltonCaps! ",22,None,34380,888,0.0,0.0
Soompi,17659206,2017-10-31 05:19:49,"#YooJaeSuk, #Suzy, And More To Be First Torchbearers For 2018 Pyeongchang Winter Olympics
https://t.co/jKpNCCQS3J https://t.co/xVo9iDQnEe",628,YooJaeSuk,1712205,3646,0.375,0.41666666666666663
Olympic Flame,707559273044250625,2017-10-31 10:32:58,Thank you Greece!  @PyeongChang2018 here I come!  Next stop Incheon #TorchRelay #Olympics https://t.co/l411bTxoOW,248,TorchRelay,102098,668,0.0,0.0
Seth Abramson,3223426134,2017-10-30 08:25:16,Here's the White House warming up for what will be a veritable *Olympics* of lies--today and all this week--throughou... https://t.co/F7m9MeRXjL,942,None,295722,47,0.0,0.0
Bloomberg,34713362,2017-10-31 10:42:35,South Korea's Moon is calling on North Korea to join the Winter Olympics https://t.co/cQpoIGuGTd https://t.co/cwXrOB75ZY,36,None,4357815,1088,0.0,0.0
PinkNews,27987687,2017-10-31 13:12:12,"Hong Kong to host Gay Olympics despite Chinese oppression
https://t.co/mo02pdMJPI",26,None,151840,1098,0.20833333333333334,0.2916666666666667
PyeongChang 2018,83529162,2017-10-31 09:02:04,Handover ceremony of the @OlympicFlame for the Winter Olympic Games #PyeongChang2018 #Olympics https://t.co/ynqgLjRiTC,81,PyeongChang2018,198176,2527,0.0,0.0
Bleacher Report,890891,2017-10-24 17:30:12,"After making the Olympics at 16, Sydney McLaughlin might have made millions. Instead, she's a freshman at UK #BRmag... https://t.co/oaEP7edJN7",605,BRmag,5520944,608,0.0,0.0
Olympics,52422878,2017-10-31 09:47:44,"The design of the @PyeongChang2018 tickets was unveiled today, just one day before the #OlympicFlame arrives in Sou... https://t.co/Q0tU8gWgNs",40,OlympicFlame,5640545,4650,0.0,0.0
Olympics,52422878,2017-10-24 08:51:42,Lighting ceremony for the @OlympicFlame in Olympia @PyeongChang2018 #TorchRelay #Olympics https://t.co/r0Tn2eRAEd,259,TorchRelay,5640545,4650,0.0,0.0
