title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
wE neEd tO TaLk,VRediw14EXQ,2141828,217385,2806,45409,0
YOU LAUGH YOU LOSE PART 5000 ft Nick Crompton,01EiIT2A8b4,5056255,269747,11935,37651,0
The Pewdiepie Song(s),g1d7hrfc7wM,4815569,315605,3962,32057,0
THE RICH LIFE OF PEWDIEPIE,GP9egt__qeI,7450422,392618,9980,29117,0
REACTING TO SPICY PEWDIEPIE MEMES,yD4ZZgZToKw,6616427,348555,5336,25723,0
Why i'm joining team 10...,mjxzkmf3ks0,3987704,292038,8301,19750,0
JAKE PAUL,TuIcBPm90aM,18772943,1136435,112467,202916,0
COME AT ME PEWDIEPIE!,DTFcqjO35Qc,5331357,307690,96314,47856,0
THE PEWDIEPIE IQ TEST,5DvgE04YzU8,11240604,401357,6725,25310,0
JAKE PAUL EXPOSED,u8YwCg4iNV0,8880155,590985,26012,67422,0
[Zhong Wen Zi Mu ]PewDiePie-Mei . Zhe . Mo . Jing . Kong . Guo . - The Joy Of Creation:Gu Shi Mo Shi  #1,z9VBb5sXqgg,15680,427,2,94,0
KSI Quits SIDEMEN! #DramaAlert Jake Paul & PewDiePie & Team 10 vs KSI & RiceGum & FaZe Banks,sTWyWl8DLAA,1361816,80248,8846,24500,0
YOU LAUGH = YOU LOSE [C H A L L E N G E] -  Episode 100/100,-rnr5jeWm2I,4448728,361369,6892,21926,0
TOP 10 PEWDIEPIE VIDEOS,kQye2uNafk0,5476419,348090,7496,42979,0
THE 5 YEAR OLD THAT WILL SURPASS PEWDIEPIE,4CjLK1mB_II,8071242,546673,10903,59986,0
KATY PERRY IS A GENIUS,OB4znOVsfnA,6529388,383424,8141,42431,0
HOW MUCH DOES PEWDIEPIE MAKE IN A YEAR?,j7c7W8R3p6Q,7154769,398021,15267,57463,0
JAKE PAUL IN THE TITLE,R3fr2r_FkKE,9914467,653199,55993,141678,0
PLEASE BUY THIS!,NrWjXyGJzoI,4845598,280872,6215,24650,0
Pewdiepie me obidi,j7b8_B-JcdA,10857,1375,92,259,0
WHY PEWDIEPIE IS THE DUMBEST YOUTUBER,eQfzqXiNfug,12376998,726934,10598,107593,0
